,Song,Popularity
0,0X1=LOVESONG (I Know I Love You) feat. Seori,60
1,LO$ER=LO♡ER,60
12,STAY (with Justin Bieber),60
43,Alcohol-Free,59
29,CRY FOR ME,59
4,FIRST,59
9,Likey,59
22,I CAN'T STOP ME,58
36,YES or YES,58
6,FAKE LOVE,56
30,Together,56
17,Don't Wanna Cry,56
48,Butterfly,56
27,Family,55
46,Celebrity,54
47,Hurt You,54
19,Unstoppable,54
7,Faded In My Last Song,53
14,ALL IN (Prod. GroovyRoom),53
16,Little Bit of Love,53
49,Odd Eye,52
8,Is Everybody Going Crazy?,51
5,Free If We Want It,50
42,Heat Waves,50
41,Congratulations (Final Ver.),49
32,She's In The Rain,49
10,Zeus (feat. White Gold),49
21,좋아합니다 I like you,48
15,My Body Is a Cage,46
11,The Suburbs,46
20,The Suburbs,46
40,Weird Fishes/ Arpeggi,45
38,(I Just) Died In Your Arms,43
37,Total Eclipse of the Heart,42
44,Holding Out for a Hero - Single Version,42
26,Runaway,41
24,Dancing with Tears in My Eyes - Single Version / 2009 Remaster,35
35,Money,34
34,Time,33
39,Brain Damage,33
28,The Winner Takes It All,33
18,Breathe (In the Air),33
2,Eclipse,33
13,Any Colour You Like,32
23,On the Run,32
25,The Great Gig in the Sky,32
31,All I Wanna Do Is Make Love To You,31
3,Us and Them,30
33,Speak to Me,29
45,Waiting for a Girl like You,28
